concept:name,case:concept:name
E,328
F,334
A,337
G,331
G,327
B,336
C,312
A,333
C,330
M,321
F,335
H,326
M,325
K,317
A,338
G,332
D,337
E,334
G,328
I,331
I,327
A,330
D,333
C,336
A,339
N,325
N,321
A,312
E,335
M,317
B,338
F,337
H,328
G,334
I,332
J,331
B,330
J,327
D,339
A,336
F,333
D,312
C,338
E,337
A,341
O,317
J,332
G,335
L,331
H,334
F,339
L,327
B,336
C,330
E,333
A,342
F,312
G,337
D,341
L,332
A,338
I,335
M,331
A,343
C,336
M,327
E,339
G,333
A,330
D,342
H,337
F,341
E,312
A,344
M,332
B,338
J,335
N,331
B,343
A,336
H,333
G,339
D,330
N,327
F,342
A,345
G,312
E,341
D,344
K,335
C,338
C,343
D,336
A,346
O,332
H,339
B,345
F,330
E,342
H,312
G,341
A,347
M,335
A,338
B,346
F,344
F,336
A,343
C,345
E,330
A,348
H,341
G,342
O,335
C,346
B,338
D,347
E,344
B,343
A,349
E,336
A,345
D,348
I,342
G,330
A,350
A,346
C,338
G,344
B,340
F,347
D,349
G,336
D,345
C,343
F,348
J,342
H,330
H,344
E,347
B,350
C,340
F,349
A,338
D,346
F,345
A,352
A,343
I,336
E,348
K,342
C,350
A,353
G,347
E,349
A,340
D,338
B,352
E,345
F,346
B,343
J,336
M,342
A,354
G,348
A,350
I,347
C,352
D,340
G,345
F,338
G,349
E,346
A,355
D,353
C,343
L,336
O,342
D,354
I,348
D,350
A,356
A,352
F,340
J,347
E,338
I,345
M,336
B,355
A,343
G,346
H,349
F,353
A,357
J,348
F,354
F,350
E,340
L,347
D,356
D,352
G,338
N,336
J,345
C,355
B,343
A,358
E,353
H,346
D,357
L,348
E,350
I,351
E,354
G,340
A,359
M,347
F,352
I,338
F,356
L,345
D,358
C,343
G,353
A,355
A,360
F,357
G,350
M,348
G,354
J,351
B,359
E,352
H,340
O,347
J,338
M,345
F,358
E,356
A,361
A,343
D,355
I,353
E,357
H,350
D,360
L,351
N,348
C,359
I,354
A,362
G,352
K,338
O,345
E,358
B,361
G,356
M,351
B,343
F,360
F,355
A,363
G,357
J,353
A,359
B,362
M,338
J,354
H,352
I,356
G,358
A,364
C,361
E,355
O,351
C,343
E,360
B,363
L,353
B,359
C,362
I,357
K,354
A,365
O,338
J,356
D,364
H,358
C,363
A,361
A,343
G,355
G,360
A,366
C,359
A,362
J,357
M,353
M,354
D,365
L,356
F,364
A,367
A,363
D,343
B,361
H,360
I,355
L,357
N,354
B,366
A,359
N,353
F,365
A,368
M,356
B,362
E,364
B,367
F,343
J,355
B,363
D,359
C,361
A,369
C,366
M,357
E,365
D,368
C,362
O,356
C,367
G,364
A,370
E,343
F,359
L,355
C,363
A,366
D,369
A,361
N,357
A,371
G,365
I,364
F,368
A,367
A,362
B,370
G,343
E,359
A,363
F,369
D,366
M,355
A,372
B,361
H,365
B,371
B,367
J,364
E,368
B,362
C,370
A,373
H,343
F,366
G,359
E,369
N,355
B,363
D,372
C,361
C,367
C,371
G,368
L,364
C,362
E,366
A,370
B,373
H,359
G,369
F,372
A,375
C,363
A,361
A,367
A,371
I,368
M,364
A,362
D,370
G,366
C,373
E,372
D,375
D,367
I,369
B,361
A,363
B,371
J,368
A,377
D,362
O,364
I,366
A,373
F,370
G,372
F,375
F,367
A,378
C,361
J,369
D,363
L,368
C,371
D,377
F,362
A,379
J,366
D,373
E,370
H,372
E,367
E,375
D,378
A,361
K,369
A,371
M,368
F,377
A,380
F,363
L,366
F,373
E,362
G,370
D,379
N,368
F,378
G,367
G,375
A,381
B,361
M,369
B,371
B,380
E,363
E,377
G,362
H,370
A,382
E,373
M,366
D,381
F,379
G,363
I,367
C,371
N,369
H,375
C,380
E,374
C,361
A,383
G,377
G,373
N,366
H,362
D,382
A,371
J,367
F,381
E,379
I,376
A,384
H,363
A,380
D,383
G,374
A,361
I,377
F,382
A,385
H,373
D,371
E,381
G,379
J,376
K,367
B,384
F,383
D,380
A,386
J,377
I,374
E,382
D,361
D,385
G,381
L,376
I,379
F,371
A,387
E,383
M,367
C,384
F,380
D,386
J,374
G,382
K,377
I,381
F,385
A,388
F,361
G,383
M,376
J,379
E,371
E,380
A,384
D,387
F,386
A,389
N,367
L,374
H,382
M,377
J,381
E,385
D,388
E,361
O,376
G,380
I,383
K,379
A,390
D,389
G,371
E,386
D,384
M,374
F,387
F,388
K,381
N,377
A,391
G,385
I,380
G,361
J,383
B,390
M,379
G,386
N,374
F,389
F,384
E,387
A,392
H,371
M,381
D,391
H,385
E,388
J,380
C,390
H,361
K,383
A,393
N,379
E,389
E,384
G,387
I,386
B,392
A,394
N,381
F,391
A,390
B,393
G,388
M,383
K,380
G,389
C,392
G,384
J,386
A,395
I,387
B,394
D,390
N,383
M,380
A,396
E,391
C,393
I,388
I,389
J,387
D,395
A,392
H,384
L,386
C,394
A,397
J,388
F,390
G,391
A,393
N,380
D,396
F,395
B,392
L,387
J,389
M,386
A,398
D,397
A,394
H,391
E,390
A,399
F,396
E,395
B,393
K,388
C,392
M,387
N,386
F,397
B,398
L,389
B,394
A,400
G,390
E,396
G,395
O,387
C,393
B,399
M,388
E,397
A,392
M,389
C,398
B,400
C,394
H,390
G,396
C,399
A,402
D,392
A,393
O,388
I,395
A,398
N,389
G,397
C,400
A,403
H,396
A,394
A,399
F,392
D,402
D,398
J,395
D,393
A,404
H,397
B,403
A,400
D,399
D,394
E,392
A,405
F,398
F,402
L,395
F,393
D,404
C,403
F,394
A,406
F,399
D,400
D,405
G,392
E,398
M,395
E,402
F,404
E,393
A,407
A,403
D,406
E,394
F,400
H,392
G,398
F,405
N,395
A,408
G,393
G,402
B,407
G,394
E,400
B,403
A,409
F,406
I,398
E,405
B,408
C,407
H,394
H,393
H,402
A,410
E,406
C,403
J,398
E,401
G,400
D,409
C,408
A,411
G,405
D,410
A,407
H,400
F,409
A,412
G,401
G,406
K,398
A,403
A,408
F,410
D,411
I,405
A,413
D,407
E,409
D,403
M,398
D,412
B,408
I,401
E,410
A,414
F,411
J,405
D,413
F,407
A,415
O,398
F,403
G,409
C,408
D,414
F,412
E,411
G,410
J,401
L,405
E,407
F,413
A,416
D,415
H,409
F,414
A,408
E,412
G,411
E,403
A,417
K,401
I,410
M,405
G,407
D,416
E,413
F,415
A,418
E,414
G,403
G,412
D,408
H,411
D,417
M,401
J,410
I,407
F,416
A,419
G,413
O,405
D,418
E,415
H,403
I,412
F,408
G,414
A,420
F,417
K,410
E,416
I,413
J,407
O,401
B,419
G,415
F,418
J,412
E,408
B,420
I,414
E,417
M,410
J,413
C,419
G,416
L,407
A,422
H,415
E,418
G,408
L,412
C,420
G,417
A,423
O,410
J,414
L,413
A,419
M,407
D,422
H,416
G,418
M,412
A,420
H,408
H,417
O,407
L,414
D,423
M,413
D,419
F,422
A,425
I,418
E,421
N,412
D,420
M,414
A,426
F,423
N,413
E,422
J,418
F,419
D,425
A,427
G,421
N,414
B,426
F,420
E,423
E,419
A,428
F,425
G,422
L,418
D,427
H,421
E,420
C,426
A,429
G,423
G,419
E,425
H,422
B,428
M,418
F,427
A,430
I,423
G,420
A,426
B,429
I,419
G,425
A,431
E,427
C,428
D,430
N,418
B,426
J,423
I,424
A,432
C,429
I,420
J,419
H,425
B,431
A,428
G,427
A,433
F,430
K,423
J,424
C,426
D,432
J,420
A,429
D,428
K,419
A,434
C,431
D,433
I,427
E,430
A,426
L,424
M,423
F,432
A,435
L,420
F,428
D,429
M,419
A,431
D,434
G,430
A,436
F,433
J,427
M,420
O,423
M,424
D,435
D,426
E,432
D,431
F,429
N,419
A,437
F,434
B,436
I,430
E,433
O,424
K,427
F,435
G,432
F,426
N,420
E,429
F,431
B,437
E,434
J,430
C,436
A,439
G,433
M,427
E,426
E,431
E,435
H,432
G,429
A,440
A,436
G,434
C,437
K,430
D,439
H,433
G,426
G,431
N,427
A,441
H,429
G,435
D,440
B,436
I,434
A,437
M,430
F,439
A,442
H,426
D,441
I,431
I,435
F,440
C,436
A,443
J,434
B,437
O,430
E,439
B,442
J,431
F,441
A,444
J,435
D,438
A,436
D,443
E,440
C,437
K,434
G,439
A,445
E,441
C,442
F,438
K,435
B,444
L,431
G,440
M,434
B,436
A,437
A,446
F,443
H,439
D,445
G,441
A,442
A,447
M,435
C,444
M,431
C,436
E,438
I,440
E,443
D,446
D,437
N,434
F,445
A,448
H,441
B,447
B,442
O,435
A,444
N,431
F,446
G,438
J,440
A,436
G,443
A,449
E,445
F,437
B,448
C,447
C,442
A,450
E,446
B,444
K,440
B,436
H,438
G,445
B,449
I,443
C,448
E,437
A,451
A,447
A,442
D,450
M,440
G,446
J,443
C,444
C,436
H,445
A,452
C,449
A,448
G,437
D,451
B,442
D,447
A,453
O,440
I,446
F,450
L,443
A,444
A,436
A,449
B,452
H,437
F,451
B,448
A,454
F,447
C,442
B,453
J,446
M,443
E,450
B,449
D,444
D,436
A,455
E,451
C,452
C,448
B,454
E,447
A,456
O,443
L,446
C,453
F,444
A,442
C,449
G,450
D,455
G,451
F,436
A,452
A,448
A,457
G,447
C,454
B,456
M,446
E,444
A,453
H,450
D,442
A,449
F,455
A,458
B,452
E,436
H,451
B,448
H,447
D,457
A,454
A,459
G,444
B,453
C,456
O,446
B,449
F,442
D,458
E,455
G,436
C,452
A,460
D,459
C,448
F,457
D,454
H,444
A,456
C,453
I,436
C,449
A,461
E,442
F,458
G,455
B,460
E,457
F,459
F,454
A,462
A,448
D,456
A,453
E,458
J,436
G,442
A,449
H,455
B,461
C,460
A,463
G,457
E,459
D,462
F,456
E,454
G,458
B,448
B,453
K,436
A,464
C,461
H,442
B,449
D,463
A,460
G,459
H,457
G,454
A,465
M,436
C,448
F,462
C,453
E,456
I,458
B,464
C,449
A,461
F,463
B,460
A,466
I,459
D,465
E,462
H,454
A,448
O,436
A,453
G,456
J,458
A,467
C,464
A,449
D,461
C,460
E,463
G,462
B,466
D,448
F,465
A,468
J,459
B,467
L,458
A,464
D,453
B,449
I,456
F,461
G,463
I,462
A,469
C,466
A,460
E,465
B,468
C,467
K,459
F,448
M,458
J,456
B,464
F,453
C,449
A,470
E,461
J,462
A,466
B,460
G,465
B,469
E,448
C,468
A,467
A,471
O,458
B,470
M,459
G,461
E,453
L,456
A,449
C,464
D,466
L,462
A,472
C,460
H,465
G,448
C,469
A,468
D,467
D,471
C,470
N,459
G,453
M,456
A,473
I,461
D,449
A,464
F,466
M,462
D,472
A,460
A,469
D,468
H,448
N,456
A,470
F,471
F,467
H,453
J,461
B,473
F,449
B,464
O,462
E,466
A,475
F,472
D,460
B,469
F,468
B,470
K,461
E,471
C,473
C,464
E,449
G,466
B,475
E,472
F,460
C,469
A,477
E,468
G,471
C,470
A,473
M,461
A,464
G,449
H,466
C,475
A,478
E,460
A,469
G,472
E,474
B,477
A,470
I,471
G,468
O,461
D,473
A,479
B,464
B,478
A,475
H,449
H,472
B,469
A,480
G,460
C,477
J,471
G,474
D,470
I,468
F,473
C,464
B,479
B,475
C,478
A,481
C,469
D,480
F,470
A,477
K,471
H,460
E,473
J,468
A,482
H,474
C,475
A,464
C,479
A,478
B,481
A,469
E,470
A,483
B,477
G,473
F,480
M,471
B,482
K,468
A,475
A,479
B,464
B,469
D,478
A,484
C,481
D,483
C,477
G,470
N,471
C,482
I,473
A,485
M,468
E,480
B,475
C,464
C,469
B,484
B,479
F,478
A,481
A,477
F,483
I,470
A,482
J,473
C,475
D,485
G,480
N,468
A,464
A,487
C,479
E,478
B,477
C,484
E,483
B,481
J,470
K,473
D,482
A,488
I,480
A,475
A,479
F,485
F,476
G,478
C,477
D,487
B,464
G,483
A,489
A,484
K,470
M,473
D,479
C,481
B,488
F,482
J,480
B,475
E,485
E,476
A,490
F,487
H,478
C,464
A,477
B,489
H,483
E,486
N,473
D,484
M,470
C,488
A,481
E,482
A,491
F,479
L,480
G,485
C,475
G,476
F,484
B,477
D,490
E,487
A,464
C,489
G,486
A,492
O,470
B,481
G,482
E,479
D,491
A,488
M,480
I,476
A,475
H,485
A,493
D,464
E,484
C,477
F,490
G,487
A,489
C,481
B,492
H,486
H,482
G,479
F,491
A,494
J,476
B,475
B,488
O,480
G,484
H,487
D,493
F,464
E,490
A,481
D,489
A,495
A,477
C,492
B,494
I,479
C,475
E,491
C,488
L,476
A,496
G,490
H,484
F,493
E,464
D,481
B,477
D,495
F,489
C,494
A,492
A,475
G,491
A,488
J,479
A,497
M,476
E,493
H,490
D,496
C,477
G,464
E,489
F,481
A,498
F,495
A,494
H,491
B,475
D,492
B,488
K,479
D,497
A,499
O,476
G,493
G,489
D,498
E,481
A,477
F,496
E,495
H,464
F,492
D,494
C,475
M,479
C,488
F,497
F,498
I,489
B,499
H,493
D,477
E,496
G,481
E,497
A,475
F,494
G,495
E,492
A,488
O,479
C,499
G,496
J,489
I,481
F,477
H,495
G,497
D,475
G,492
D,488
E,494
K,489
A,499
H,496
E,477
I,492
J,481
I,497
F,488
G,494
F,475
G,477
B,499
M,489
J,492
I,494
E,488
L,481
J,497
E,475
H,477
C,499
O,489
L,492
G,488
M,481
J,494
K,497
G,475
A,499
I,488
M,492
K,494
M,497
N,481
I,475
B,499
J,488
O,497
M,494
O,492
J,475
C,499
K,488
O,494
K,475
A,499
M,488
M,475
D,499
N,488
F,499
O,475
E,499
G,499
I,499
J,499
L,499
M,499
N,499
A,500
A,501
D,500
A,502
B,501
A,503
F,500
B,502
C,501
A,504
B,503
E,500
A,505
A,501
C,502
B,504
C,503
A,506
D,505
G,500
B,501
A,502
A,507
A,503
C,504
B,506
F,505
A,508
I,500
C,501
D,502
B,503
B,507
A,504
A,509
C,506
J,500
E,505
B,508
A,501
A,510
C,507
F,502
C,503
D,504
D,509
A,506
L,500
A,511
C,508
G,505
D,501
A,507
B,510
E,502
A,503
F,509
D,506
F,504
A,512
A,508
M,500
F,501
B,511
B,507
C,510
I,505
G,502
A,513
D,503
F,506
E,509
E,504
D,512
D,508
O,500
C,511
A,514
E,501
J,505
C,507
E,506
A,510
B,513
H,502
F,503
G,509
F,512
A,515
G,504
F,508
A,511
G,501
B,514
K,505
C,513
D,510
A,507
G,506
A,516
E,503
I,509
E,512
D,515
H,504
E,508
B,511
I,501
A,517
A,513
C,514
F,510
M,505
H,506
D,507
G,503
J,509
D,516
G,512
A,518
C,511
J,501
F,515
G,508
D,513
O,505
B,517
F,507
E,510
A,514
A,519
H,503
L,509
F,516
A,511
I,512
B,518
K,501
I,508
F,513
E,515
C,517
G,510
D,519
B,514
M,509
E,507
J,512
M,501
D,511
A,521
J,508
C,518
E,513
G,515
I,510
F,519
A,522
F,511
A,517
K,512
C,514
G,507
N,509
D,521
O,501
A,518
K,508
G,513
I,515
A,523
E,511
J,510
E,519
B,522
D,517
B,518
M,512
F,521
I,507
A,514
A,524
M,508
J,515
D,523
I,513
K,510
F,517
G,511
A,525
C,518
C,522
G,519
J,507
B,514
E,521
O,512
O,508
K,515
D,524
F,523
A,526
J,513
D,525
M,510
E,517
D,520
I,511
C,514
A,518
I,519
K,507
A,522
G,521
F,524
A,527
E,523
M,515
L,513
D,526
G,517
F,525
N,510
F,520
J,519
A,528
A,514
J,511
D,522
B,518
M,507
M,513
E,524
B,527
G,523
O,515
F,526
A,529
E,525
I,517
E,520
D,528
L,519
F,522
D,514
K,511
C,518
A,530
O,513
G,524
O,507
C,527
B,529
I,523
J,517
G,525
E,526
G,520
F,528
M,519
E,522
A,531
M,511
F,514
A,518
D,530
I,524
A,527
K,517
C,529
G,526
J,523
A,532
H,525
H,520
G,522
B,531
O,511
N,519
E,514
F,530
J,524
D,518
A,533
A,529
L,523
M,517
B,527
D,532
H,526
C,531
I,522
A,534
F,518
G,514
E,530
L,524
D,533
M,523
B,529
O,517
C,527
A,535
F,532
A,531
J,522
H,514
D,534
E,518
G,530
N,523
A,536
M,524
F,533
C,529
A,527
E,532
B,531
D,535
K,522
A,537
F,534
I,530
N,524
A,529
G,518
D,527
D,536
C,531
E,533
A,538
F,535
G,532
E,534
D,537
M,522
J,530
D,529
I,518
F,527
E,535
F,536
D,538
I,532
G,534
A,531
G,533
F,537
A,540
F,529
L,530
J,518
O,522
G,535
E,527
H,534
E,536
A,541
F,538
I,533
J,532
D,540
D,531
E,537
E,529
M,530
L,518
A,542
G,527
B,541
F,540
H,535
G,536
E,538
K,532
F,531
J,533
G,529
A,543
N,530
G,537
I,527
M,518
B,542
I,536
G,538
E,540
K,533
I,529
D,543
E,531
C,541
M,532
I,537
J,527
A,545
O,518
C,542
H,538
G,540
J,536
G,531
J,529
F,543
O,532
M,533
A,546
A,541
I,539
J,537
D,545
L,527
H,540
A,542
L,536
A,547
K,529
I,531
N,533
B,541
B,546
K,537
A,548
F,545
M,527
J,539
B,542
B,547
M,536
M,529
C,541
J,531
C,546
A,549
B,548
M,537
K,539
O,527
E,545
C,547
C,542
N,529
A,550
A,541
N,536
K,531
A,546
B,549
C,548
O,537
A,551
M,539
G,545
A,547
D,550
I,544
D,541
A,542
C,549
D,546
A,552
M,531
D,551
A,548
J,544
H,545
N,539
D,547
A,553
D,542
F,541
A,549
F,550
F,546
B,552
N,531
D,548
F,551
A,554
K,544
D,553
F,547
D,549
E,541
F,542
E,550
A,555
E,546
C,552
E,551
B,554
F,548
M,544
F,553
E,542
E,547
A,556
F,549
G,541
G,546
G,550
B,555
A,552
E,548
A,557
G,551
C,554
E,553
O,544
G,542
H,541
G,547
E,549
B,556
I,546
C,555
H,550
A,558
D,552
I,551
A,554
D,557
H,542
G,553
G,548
A,555
A,559
H,547
C,556
G,549
J,546
B,558
F,552
F,557
J,551
D,554
A,560
H,548
B,559
I,553
H,549
A,556
C,558
L,546
E,552
A,561
F,554
E,557
D,560
L,551
C,559
A,562
J,553
M,546
G,552
A,558
G,557
D,561
E,554
M,551
F,560
A,563
A,559
D,562
B,558
I,552
L,553
O,546
A,564
F,561
I,557
G,554
E,560
O,551
D,563
B,559
A,565
F,562
M,553
C,558
E,561
G,560
J,552
D,564
H,554
J,557
A,566
F,563
C,559
E,562
A,558
D,565
O,553
G,561
F,564
A,567
L,552
H,560
L,557
B,566
A,559
B,558
E,563
G,562
F,565
A,568
I,561
D,567
E,564
M,557
M,552
C,566
A,569
D,559
G,563
D,568
C,558
I,562
E,565
J,561
F,567
G,564
O,552
O,557
F,559
A,566
B,569
H,563
J,562
F,568
G,565
A,571
A,558
E,567
I,564
K,561
E,559
D,566
K,562
C,569
D,571
G,567
I,565
E,568
J,564
D,558
M,561
A,573
M,562
G,559
F,566
A,569
F,571
A,574
K,564
G,568
F,558
J,565
I,567
D,573
N,561
I,559
E,566
N,562
A,575
E,571
M,564
B,569
E,558
D,574
I,568
L,565
J,567
F,573
A,576
G,566
J,559
B,575
C,569
G,571
F,574
O,564
A,577
G,558
J,568
K,567
M,565
D,576
I,570
E,573
K,559
H,566
A,578
C,575
I,571
A,569
B,577
E,574
K,568
I,572
H,558
M,567
F,576
J,570
A,579
N,565
M,559
G,573
D,578
A,575
B,569
J,571
A,580
M,568
G,574
N,567
C,577
J,572
B,579
E,576
H,573
K,570
N,559
A,581
F,578
B,575
L,571
C,569
N,568
B,580
G,576
I,574
A,577
C,579
A,582
K,572
M,570
B,581
E,578
M,571
C,580
A,583
A,569
I,576
C,575
J,574
A,579
D,582
D,577
M,572
G,578
N,570
C,581
J,576
N,571
B,583
L,574
D,569
A,575
A,580
A,585
D,579
I,578
F,582
O,572
F,577
K,576
A,581
M,574
B,580
A,586
D,575
F,569
B,585
C,583
F,579
J,578
E,577
E,582
O,574
B,581
M,576
D,586
F,575
A,583
C,580
L,578
C,585
E,569
A,588
G,577
G,582
O,576
F,586
M,578
E,575
A,585
A,589
D,583
C,581
G,569
A,580
D,588
I,582
H,577
A,590
E,586
D,584
B,585
N,578
B,589
G,575
F,583
I,569
F,588
A,581
D,580
A,591
J,582
B,590
F,584
C,589
C,585
G,586
A,592
E,583
I,575
D,581
J,569
E,588
D,591
K,582
A,593
E,584
C,590
A,589
I,586
J,575
D,587
A,585
B,592
G,583
F,581
K,569
A,594
G,588
M,582
F,591
A,590
B,593
D,589
J,586
G,584
F,587
B,585
H,583
A,595
L,575
C,592
E,581
H,588
M,569
N,582
E,591
B,594
C,593
A,596
F,589
K,586
B,590
H,584
C,585
E,587
M,575
A,592
B,595
G,581
A,597
G,591
N,569
E,589
C,594
A,593
B,596
M,586
C,590
G,587
A,598
O,575
H,581
D,592
A,585
C,595
D,597
H,591
G,589
D,593
A,594
N,586
A,599
C,596
A,590
H,587
B,598
F,592
B,585
A,595
F,597
A,600
B,599
D,590
F,593
B,594
H,589
A,596
C,598
A,601
E,592
C,585
B,595
E,597
D,600
C,599
F,590
A,602
E,593
C,594
D,596
B,601
G,592
A,585
C,595
A,598
G,597
A,603
F,600
E,590
G,593
A,599
D,602
I,592
F,596
A,594
A,604
C,601
B,598
A,595
I,597
B,603
B,585
E,600
H,593
G,590
A,605
F,602
D,599
B,604
E,596
A,601
C,598
J,592
B,594
B,595
J,597
A,606
C,585
C,603
G,600
H,590
E,602
B,605
G,596
F,599
K,592
C,604
A,598
A,607
D,601
C,595
C,594
L,597
B,606
I,600
A,585
A,603
A,608
C,605
H,596
M,592
G,602
A,604
B,598
B,607
E,599
A,595
C,606
A,594
F,601
J,600
M,597
B,585
A,609
B,603
D,608
I,602
N,592
A,605
G,599
B,604
C,598
C,607
A,610
B,594
D,595
D,609
A,606
E,601
N,597
C,585
L,600
F,608
J,602
B,605
C,603
H,599
A,607
F,609
F,595
C,594
B,610
D,606
A,598
C,604
G,601
M,600
A,612
A,585
E,608
C,605
L,602
E,609
A,603
D,607
A,613
C,610
E,595
B,598
B,585
A,604
B,612
A,594
F,606
I,601
N,600
G,608
A,605
A,614
M,602
G,609
D,603
A,610
B,613
F,607
G,595
E,606
C,585
C,612
D,594
J,601
B,604
A,615
H,608
B,614
N,602
D,605
B,610
H,609
C,613
A,616
F,603
I,595
E,607
A,612
F,594
G,606
A,585
K,601
C,604
D,615
A,617
C,614
E,603
A,613
C,610
D,616
J,595
F,605
H,606
G,607
D,612
D,585
E,594
A,618
F,615
A,604
M,601
I,611
B,617
A,614
A,610
G,603
B,613
K,595
F,616
A,619
E,605
F,612
H,607
G,594
D,618
F,585
B,604
E,615
J,611
O,601
C,617
A,620
D,614
B,610
H,603
D,619
G,605
M,595
E,616
I,594
C,613
E,612
F,618
K,611
E,585
A,621
G,615
C,604
A,617
B,620
F,614
O,595
G,616
J,594
F,619
A,622
I,605
C,610
D,621
A,613
G,585
I,615
E,618
M,611
G,612
A,604
C,620
B,617
A,623
E,614
B,622
K,594
E,619
J,605
A,610
I,585
I,616
F,621
O,611
B,613
I,612
A,624
G,618
D,604
J,615
A,620
C,617
B,623
C,622
G,614
M,594
A,625
J,616
B,610
G,619
E,621
K,605
C,613
J,585
J,612
F,604
L,615
H,618
B,624
D,620
A,626
A,617
A,622
C,623
H,614
B,625
M,605
I,619
O,594
G,621
C,610
K,616
L,612
K,585
E,604
A,613
M,615
A,627
C,624
F,620
B,626
D,617
D,622
A,623
J,619
C,625
A,628
N,605
H,621
A,610
M,616
N,615
G,604
M,612
M,585
B,613
B,627
A,624
E,620
F,617
B,623
A,629
F,622
C,626
A,625
K,619
D,628
O,585
D,610
H,604
O,616
O,612
A,630
C,613
C,627
G,620
D,629
E,622
D,624
A,626
E,617
C,623
B,625
M,619
A,631
F,610
F,628
D,630
I,620
A,613
A,627
A,623
B,626
F,624
A,632
G,617
F,629
G,622
O,619
C,625
D,631
E,628
E,610
J,620
A,633
F,630
D,627
D,632
D,613
E,629
D,623
E,624
I,622
C,626
H,617
A,625
F,631
A,634
L,620
G,628
G,610
E,630
G,629
F,627
D,633
F,613
F,632
F,623
A,635
A,626
G,624
B,625
J,622
B,634
E,631
M,620
A,636
E,632
H,610
E,613
F,633
E,627
H,629
E,623
C,625
G,630
I,624
B,635
D,626
C,634
A,637
G,631
L,622
N,620
D,636
G,613
G,632
G,627
E,633
A,625
I,630
G,623
A,638
J,624
F,626
C,635
A,634
M,622
H,631
D,637
I,632
A,639
F,636
I,613
G,633
I,627
H,623
J,630
D,625
B,638
E,626
K,624
A,635
B,634
A,640
N,622
F,637
J,632
E,636
D,639
J,613
L,630
F,625
I,633
A,641
J,627
M,624
C,634
G,626
C,638
B,640
D,635
G,636
F,639
E,637
L,632
A,642
E,625
K,613
K,627
M,630
J,633
O,624
B,641
F,635
C,640
A,638
A,634
H,626
A,643
G,637
I,636
D,642
E,639
G,625
M,632
M,613
K,633
M,627
A,644
D,638
E,635
C,641
N,630
A,640
D,634
D,643
F,642
H,637
A,645
H,625
J,636
G,639
O,613
M,633
F,638
B,644
N,632
G,635
O,627
A,641
F,643
F,634
A,646
D,640
E,642
D,645
I,639
K,636
I,635
O,633
E,638
A,647
C,644
F,640
D,641
E,643
E,634
D,646
G,642
F,645
M,636
J,635
J,639
G,638
A,644
B,647
G,634
E,640
G,643
F,641
F,646
H,642
E,645
O,636
C,647
K,635
A,650
L,639
H,638
B,644
I,634
G,640
H,643
E,641
G,645
E,646
A,651
M,635
D,650
C,644
M,639
A,647
H,640
J,634
A,652
G,641
I,645
G,646
D,651
O,635
F,650
A,644
A,653
L,634
B,647
O,639
D,652
H,646
I,641
J,645
F,651
A,654
B,644
E,650
D,653
M,634
F,652
C,647
A,655
J,641
K,645
C,644
E,651
D,654
G,650
N,634
A,656
F,653
A,647
E,652
L,641
A,644
D,655
F,654
M,645
A,657
G,651
I,650
B,647
D,656
E,653
G,652
A,658
N,645
M,641
B,644
E,654
F,655
B,648
H,651
D,657
J,650
I,652
A,659
F,656
C,647
G,653
B,658
G,654
E,655
C,644
N,641
F,657
A,660
F,649
C,648
K,650
J,652
E,656
A,647
B,659
I,653
A,661
C,658
G,655
H,654
A,644
E,657
D,660
E,649
A,648
M,650
D,647
A,662
K,652
G,656
C,659
J,653
B,644
A,658
I,655
G,657
B,661
F,660
G,649
D,648
F,647
M,652
O,650
K,653
A,659
D,662
H,656
D,658
A,664
J,655
C,644
H,657
E,660
C,661
I,649
F,648
N,652
M,653
A,665
E,647
D,659
F,662
F,658
L,655
A,644
D,664
J,649
G,660
A,661
A,666
E,648
N,653
B,665
G,647
E,662
F,659
E,658
A,667
I,660
B,644
F,664
M,655
B,661
B,666
L,649
C,665
G,662
G,648
A,668
I,647
E,659
G,658
D,667
E,664
J,660
C,644
N,655
C,666
C,661
A,669
M,649
H,648
D,668
A,665
I,662
I,658
G,659
J,647
F,667
G,664
A,670
A,644
L,660
A,666
D,669
N,649
F,668
D,665
H,659
A,671
J,662
J,658
L,647
E,667
I,664
B,644
F,669
D,670
M,660
B,666
A,672
E,668
D,671
F,665
K,662
M,647
K,658
J,664
A,673
G,667
E,669
C,644
O,660
C,666
D,672
F,670
F,671
M,662
E,665
A,674
G,668
N,647
F,663
M,658
K,664
B,673
A,644
I,667
A,666
G,669
E,670
F,672
A,675
E,671
G,665
B,674
I,668
N,662
E,663
C,673
J,667
A,676
N,658
E,672
M,664
G,670
B,644
I,669
D,666
D,675
H,665
G,671
C,674
G,663
A,677
J,668
A,673
K,667
G,672
D,676
N,664
H,670
C,644
A,678
J,669
A,674
F,675
F,666
I,671
B,673
I,663
B,677
L,668
H,672
M,667
A,679
F,676
D,674
D,678
A,644
E,666
K,669
J,671
C,677
E,675
C,673
D,679
A,680
J,663
O,667
M,668
E,676
F,674
F,678
D,644
K,671
A,681
G,666
A,677
G,675
B,680
M,669
A,673
L,663
N,668
F,679
G,676
A,682
M,671
E,674
B,681
E,678
B,677
F,644
H,675
B,673
N,669
I,666
M,663
A,683
C,680
E,679
H,676
G,674
B,682
O,671
C,681
A,684
C,677
G,678
E,644
C,673
N,663
J,666
D,683
A,680
A,685
G,679
C,682
H,674
B,684
A,681
I,678
G,644
